Id,FirstName,LastName,AccountType,CurrentBalance,Atm_,CreditCard_,InterestRate,Password
Raj_Pt@45,Raj,Patel,C,5015,N,Y,0,4a9b5z78
Tej_Sd@a9,Tej,Sadhariya,C,5500,N,Y,0,a0129wsf
Shyam_Sh@Z1,Shyam,Soham,S,1220,Y,N,4,Za091678
Ruchit_Go@12,Ruchit,Ghodasara,S,28703,Y,N,0,10ab2876
Heet_Dd@R8,Heet,Dedakiya,C,10991,Y,Y,0,Ram08347
Rajan_Pr@74,Rajan,Parmar,S,6699,N,N,4,741741741
Rajkumar_Sa@00,Rajkumar,Shah,C,800,N,Y,0,12341242
Viraj_Gm@15,Viraj,Gamadha,C,7000,Y,Y,0,15995115
Fenil_Jv@a1,Fenil,Jivani,S,6000,Y,N,4,aaa111aaa
Raman_Km@rn,Raman,Kemadiya,S,1200,N,N,4,raman123
Priyanshu_Sd@18,Priyanshu,Sadhariya,S,11000,Y,N,4,123987456
Raman_Vn@si,Raman,Venkat,S,1000,Y,N,4,swamii678
Arvindbhai_Go@17,Arvindbhai,Ghodasara,S,1000,Y,N,4,12387645
Darshit_Pt@dh,Darshit,Patel,S,14000,Y,Y,4,darshit8
Dhruvam_Ba@ra,Dhruvam,Bhalodiya,C,499,Y,N,0,radhakrishna
Kevil_Vg@11,Kevil,Vaghashiya,C,6000,Y,N,0,10101010
Arvindbhai_Go@22,Arvindbhai,Ghodasara,S,12000,Y,N,4,20202020
Virat_Kh@Vn,Virat,Kohli,C,400,N,Y,0,VirandAnu
Jeet_Go@j1,Jeet,Ghodasara,C,10400,Y,Y,0,jeet1234
Jenil_Gm@JA,Jenil,Gambhava,S,10000,Y,Y,4,JMGPASS&123
darshit_pt@pl,darshit,patel,S,8500,N,N,4,patel778
Mohan_Pa@mn,Mohan,Prashad,C,10500,N,Y,0,mohan_pra
dharm_ri@ru,dharm,raiyani,S,7000,Y,N,4,raghukul000
Neetaben_Go@1b,Neetaben,Ghodasara,S,15000,Y,N,4,123abc456
Raj_Km@ru,Raj,Kumar,S,10050,N,N,4,rajkumar
Tej_Pt@1e,Tej,Patel,S,10000,Y,N,4,123tej123
Kapil_Sa@kl,Kapil,Sharma,C,11500,Y,Y,0,kapil_vaanar
jash_pt@j1,jash,patel,S,9950,Y,N,4,jash12345678
arpit_go@15,arpit,ghodasara,S,1999,N,Y,4,12345678
Jay_Pt@15,Jay,Patel,S,1495,Y,N,4,123456789
Ruchit_Go@Pw,Ruchit,Ghodasara,S,500000,Y,Y,4,Password
arya_gu@a2,arya,ghumaliya,S,5000,Y,N,4,arya2112001
